Assessment Name,URL,Category,Remote Testing,Adaptive/IRT,Test Type,Description,Job Level,Duration,Cleaned Description,cleaned_full_text
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Pre-packaged Job Solutions,No,Yes,"C, P, A, B","The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.","Mid-Professional,",49,account manager solution assessment used job candidate applying midlevel leadership position tend manage daytoday operation activity client account sample task job include limited communicating client project status developing maintaining project plan coordinating internally appropriate project personnel ensuring client expectation met potential job title use solution account executive account manager senior account manager multiple configuration solution available,Account Manager Solution. account manager solution assessment used job candidate applying midlevel leadership position tend manage daytoday operation activity client account sample task job include limited communicating client project status developing maintaining project plan coordinating internally appropriate project personnel ensuring client expectation met potential job title use solution account executive account manager senior account manager multiple configuration solution available
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Pre-packaged Job Solutions,No,Yes,"A, K, P","The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.","Entry-Level,",36,administrative professional solution entry midlevel position involve routine clerical administrative function addition office management function customer service sample task job include limited arranging conference call drafting correspondence scheduling meeting greeting visitor coordinating office activity potential job title use solution administrative assistant secretary office manager administrative aide administrative associate,Administrative Professional - Short Form. administrative professional solution entry midlevel position involve routine clerical administrative function addition office management function customer service sample task job include limited arranging conference call drafting correspondence scheduling meeting greeting visitor coordinating office activity potential job title use solution administrative assistant secretary office manager administrative aide administrative associate
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, P, S","The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,",51,agency manager solution midlevel sale management position include front line management sale responsibility sample task job include limited directing coordinating financial activity worker branch office department establishment branch bank brokerage firm risk insurance department credit department potential job title use solution agency manager brokerage manager multiple configuration solution available,Agency Manager Solution. agency manager solution midlevel sale management position include front line management sale responsibility sample task job include limited directing coordinating financial activity worker branch office department establishment branch bank brokerage firm risk insurance department credit department potential job title use solution agency manager brokerage manager multiple configuration solution available
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Pre-packaged Job Solutions,No,No,"B, P","The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.","General Population, Graduate, Entry-Level,",30,apprentice jobfocused assessment short targeted globally applicable assessment includes short cognitive ability measure assessment designed entrylevel position appropriate country industry use apprenticeship model intended used multinationally organisation whose business span across region,Apprentice + 8.0 Job Focused Assessment. apprentice jobfocused assessment short targeted globally applicable assessment includes short cognitive ability measure assessment designed entrylevel position appropriate country industry use apprenticeship model intended used multinationally organisation whose business span across region
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Pre-packaged Job Solutions,No,No,"B, P","The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.","Entry-Level, General Population, Graduate,",20,apprentice jobfocused assessment short targeted globally applicable assessment assessment designed entrylevel position appropriate country industry use apprenticeship model intended used multinationally organization whose business span across region,Apprentice 8.0 Job Focused Assessment. apprentice jobfocused assessment short targeted globally applicable assessment assessment designed entrylevel position appropriate country industry use apprenticeship model intended used multinationally organization whose business span across region
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Pre-packaged Job Solutions,No,No,"A, B, K, P","The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.","Entry-Level,",35,administrative assistant solution entrylevel clerical position interact external internal customer sample task job include limited answering telephone managing file record sorting mail greeting customer collaborating coworkers project potential job title use solution receptionist administrative assistant multiple configuration solution available,Bank Administrative Assistant - Short Form. administrative assistant solution entrylevel clerical position interact external internal customer sample task job include limited answering telephone managing file record sorting mail greeting customer collaborating coworkers project potential job title use solution receptionist administrative assistant multiple configuration solution available
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Pre-packaged Job Solutions,No,No,"A, B, P","This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.","Entry-Level,",45,solution entrylevel collection position inbound outbound call center environment financial setting candidate answer multiple choice question measure achievement orientation dependability collector numerical skill revenue recovery customer focus persistence planfulness multiple configuration version solution available,Bank Collections Agent - Short Form. solution entrylevel collection position inbound outbound call center environment financial setting candidate answer multiple choice question measure achievement orientation dependability collector numerical skill revenue recovery customer focus persistence planfulness multiple configuration version solution available
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Pre-packaged Job Solutions,No,Yes,"A, B, P, S","The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,",45,bank operation supervisor solution job candidate applying entrylevel leadership position tend supervise hourly employee sample task job include limited planning preparing work schedule assigning employee specific duty coaching employee attendance conduct schedule adherence work task developing employee skill training subordinate prioritizing multiple task priority making daytoday decision minimal guidance others potential job title use solution team leader first line supervisor processing supervisor call center supervisor customer service supervisor multiple configuration version solution available,Bank Operations Supervisor - Short Form. bank operation supervisor solution job candidate applying entrylevel leadership position tend supervise hourly employee sample task job include limited planning preparing work schedule assigning employee specific duty coaching employee attendance conduct schedule adherence work task developing employee skill training subordinate prioritizing multiple task priority making daytoday decision minimal guidance others potential job title use solution team leader first line supervisor processing supervisor call center supervisor customer service supervisor multiple configuration version solution available
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Pre-packaged Job Solutions,No,Yes,"B, P, S, A","The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.","Entry-Level,",43,bilingual reservation agent solution designed customer centered entrylevel position within hospitality industry sample task may include making updating canceling hotel reservation made english spanish listening customer speak spanish entering information computer english providing information hotel service offered potential job title use solution bilingual reservation agent customer service representative reservationist multiple configuration solution available,Bilingual Spanish Reservation Agent Solution. bilingual reservation agent solution designed customer centered entrylevel position within hospitality industry sample task may include making updating canceling hotel reservation made english spanish listening customer speak spanish entering information computer english providing information hotel service offered potential job title use solution bilingual reservation agent customer service representative reservationist multiple configuration solution available
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Pre-packaged Job Solutions,No,Yes,"P, S, K, B, A","The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.","Entry-Level,",49,bookkeeping accounting auditing clerk solution entrylevel position involve entering numerical data computer system maintaining financial record sample task job include limited entering financial data computer checking financial record accuracy perform routine computation financial data potential job title use solution accounting clerk bookkeeper accounting associate auditing clerk account receivable clerk,"Bookkeeping, Accounting, Auditing Clerk Short Form. bookkeeping accounting auditing clerk solution entrylevel position involve entering numerical data computer system maintaining financial record sample task job include limited entering financial data computer checking financial record accuracy perform routine computation financial data potential job title use solution accounting clerk bookkeeper accounting associate auditing clerk account receivable clerk"
