Assessment Name,URL,Description,Duration,Remote Testing,Adaptive/IRT,Test Type
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,Pre-packaged Job Solution,,Yes,Yes,"P, S, A, B"
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,Pre-packaged Job Solution,,Yes,No,"A, B, C, P, S"
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,Pre-packaged Job Solution,,Yes,No,"S, B, C, P"
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P, S"
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,Pre-packaged Job Solution,,Yes,No,"P, B, C, A, S"
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,Pre-packaged Job Solution,,Yes,No,"S, B, C, P"
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P, S"
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,Pre-packaged Job Solution,,Yes,No,"A, B, P, S"
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P"
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P"
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P"
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P"
District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P"
Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,Pre-packaged Job Solution,,Yes,No,"B, P, A"
Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,Pre-packaged Job Solution,,Yes,No,"A, B, P"
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,Pre-packaged Job Solution,,Yes,No,"C, P"
Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,Pre-packaged Job Solution,,Yes,No,"C, P"
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,Pre-packaged Job Solution,,Yes,No,"C, P"
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,Pre-packaged Job Solution,,Yes,No,"B, C, P"
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,Pre-packaged Job Solution,,Yes,No,"P, B, C"
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Pre-packaged Job Solution,,Yes,No,"C, P, B"
Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,Pre-packaged Job Solution,,Yes,Yes,"S, A, B, P"
Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P"
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,Pre-packaged Job Solution,,Yes,No,"A, B, P"
Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,Pre-packaged Job Solution,,Yes,No,"A, B, P"
Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P"
Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P, S"
Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,Pre-packaged Job Solution,,Yes,Yes,"S, A, B, K, P"
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,Pre-packaged Job Solution,,Yes,No,B
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,Pre-packaged Job Solution,,Yes,No,B
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,Pre-packaged Job Solution,,Yes,No,B
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,Pre-packaged Job Solution,,Yes,No,"B, K"
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,Pre-packaged Job Solution,,Yes,No,"A, B, P"
Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,Pre-packaged Job Solution,,Yes,No,"B, C"
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,Pre-packaged Job Solution,,Yes,No,"P, B"
Guest Service Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,Pre-packaged Job Solution,,Yes,No,B
Guest Services Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P, S"
Healthcare Aide 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,Pre-packaged Job Solution,,Yes,No,B
Healthcare Call Center Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P, S"
Healthcare Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P"
Healthcare Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P"
Home Health Aide Solution,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P"
Hospitality Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, K, P"
Host Solution,https://www.shl.com/solutions/products/product-catalog/view/host-solution/,Pre-packaged Job Solution,,Yes,Yes,"B, P"
Industrial - Entry Level 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,Pre-packaged Job Solution,,Yes,No,B
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,Pre-packaged Job Solution,,Yes,No,B
Industrial - Entry Level 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,Pre-packaged Job Solution,,Yes,No,B
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B"
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,Pre-packaged Job Solution,,Yes,No,B
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,Pre-packaged Job Solution,,Yes,No,B
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,Pre-packaged Job Solution,,Yes,No,"A, B"
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,Pre-packaged Job Solution,,Yes,No,"A, B"
Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P, S"
Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P, S"
Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P, S"
Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P"
Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P"
Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,Pre-packaged Job Solution,,Yes,Yes,"A, B, P, S"
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,Pre-packaged Job Solution,,Yes,Yes,"A, B, K, P, S"
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,Pre-packaged Job Solution,,Yes,Yes,"A, B, C"
